,MOTA,IDF1,IDS,FP,FN,Precision,Recall,MT,ML,Frag,FPS
uav0000086_00000_v,0.30773877441439024,0.5550246492226014,22,3432,6860,0.7008107401272775,0.5395664138532787,22,29,142,17.54260151902703
uav0000117_02622_v,0.031163547599674546,0.3448096885813149,233,5107,6567,0.5284395198522622,0.4656631407648495,16,51,369,14.276302910098577
uav0000137_00458_v,0.14827320084892914,0.5364156945917286,96,5788,2945,0.5618139147550912,0.7158981284970094,38,18,158,13.313641619799588
uav0000182_00000_v,-0.262513073360227,0.42195561633617207,47,5552,2851,0.408984458164786,0.5740325713431944,20,21,143,15.598511832164931
uav0000268_05773_v,0.08403799979120996,0.24912224704755825,12,1068,7694,0.6383338977311209,0.19678463305146676,3,32,80,17.98674721204889
uav0000305_00000_v,0.026214526214526246,0.053741023859161456,6,22,4021,0.8616352201257862,0.03294853294853295,0,41,10,17.895850192897882
uav0000339_00001_v,0.18141025641025643,0.41365675614021746,79,2850,2179,0.5876139487773115,0.6508012820512821,19,6,155,15.476762513931062
OVERALL,0.10578435188789415,0.4266483147576205,495,23819,33117,0.5663517031696615,0.48435967302452315,118,198,1057,16.01291682856685
